"Year","Control","Log_Single","Log_Sequential"
2033,851.277404785156,851.277404785156,851.277404785156
2034,955.382629394531,955.382629394531,955.382629394531
2035,996.726623535156,996.726623535156,996.726623535156
2036,899.085998535156,899.085998535156,899.085998535156
2037,692.31884765625,692.31884765625,692.31884765625
2038,676.574401855469,676.574401855469,676.574401855469
2039,673.357116699219,673.357116699219,673.357116699219
2040,657.308776855469,657.308776855469,657.308776855469
2041,687.247314453125,687.247314453125,687.247314453125
2042,700.970153808594,700.970153808594,700.970153808594
2043,736.811828613281,736.811828613281,736.811828613281
2044,772.45068359375,772.45068359375,772.45068359375
2045,735.4443359375,735.4443359375,735.4443359375
2046,697.1650390625,697.1650390625,697.1650390625
2047,668.802062988281,668.802062988281,668.802062988281
2048,741.430847167969,741.430847167969,741.430847167969
2049,779.423889160156,779.423889160156,779.423889160156
2050,733.289978027344,733.289978027344,733.289978027344
2051,621.914733886719,621.914733886719,621.914733886719
2052,613.475708007812,613.475708007812,613.475708007812
2053,746.665344238281,746.665344238281,746.665344238281
2054,818.6630859375,818.6630859375,818.6630859375
2055,942.004577636719,942.004577636719,942.004577636719
2056,919.822692871094,919.822692871094,919.822692871094
2057,780.545471191406,780.545471191406,780.545471191406
2058,660.328430175781,660.328430175781,660.328430175781
2059,697.46484375,697.46484375,697.46484375
2060,709.417663574219,709.417663574219,709.417663574219
2061,639.599426269531,639.599426269531,639.599426269531
2062,664.942504882812,664.942504882812,664.942504882812
2063,625.588012695312,625.588012695312,625.588012695312
2064,631.375854492188,631.375854492188,631.375854492188
2065,554.945556640625,554.945556640625,554.945556640625
2066,619.315185546875,619.315185546875,619.315185546875
2067,665.150451660156,665.150451660156,665.150451660156
2068,759.282958984375,759.282958984375,759.282958984375
2069,830.986083984375,830.986083984375,830.986083984375
2070,936.519226074219,936.519226074219,936.519226074219
2071,979.58837890625,979.58837890625,979.58837890625
2072,881.289794921875,881.289794921875,881.289794921875
2073,673.160278320312,673.160278320312,673.160278320312
2074,656.121154785156,656.121154785156,656.121154785156
2075,652.221496582031,652.221496582031,652.221496582031
2076,638.943603515625,638.943603515625,638.943603515625
2077,669.272766113281,669.272766113281,669.272766113281
2078,682.46533203125,682.46533203125,682.46533203125
2079,718.783020019531,561.2607421875,654.867431640625
2080,755.579406738281,145.479339599609,512.132202148438
2081,721.327209472656,162.587509155273,464.807647705078
