"Control","Log_Single","Log_Sequential"
"2019",560.381286621094,560.381286621094,560.381286621094
"2020",620.819274902344,620.819274902344,620.819274902344
"2021",620.158935546875,620.158935546875,620.158935546875
"2022",594.623291015625,594.623291015625,594.623291015625
"2023",601.544860839844,601.544860839844,601.544860839844
"2024",582.907287597656,582.907287597656,582.907287597656
"2025",454.394287109375,454.394287109375,454.394287109375
"2026",394.552703857422,394.552703857422,394.552703857422
"2027",353.513214111328,353.513214111328,353.513214111328
"2028",322.241363525391,322.241363525391,322.241363525391
"2029",325.450469970703,325.450469970703,325.450469970703
"2030",359.062133789062,359.062133789062,359.062133789062
"2031",378.616058349609,378.616058349609,378.616058349609
"2032",430.447357177734,430.447357177734,430.447357177734
"2033",467.261627197266,467.261627197266,467.261627197266
"2034",529.082336425781,529.082336425781,529.082336425781
"2035",584.581665039062,584.581665039062,584.581665039062
"2036",573.082153320312,573.082153320312,573.082153320312
"2037",444.798370361328,444.798370361328,444.798370361328
"2038",399.923736572266,399.923736572266,399.923736572266
"2039",382.29150390625,382.29150390625,382.29150390625
"2040",364.162994384766,364.162994384766,364.162994384766
"2041",393.060882568359,393.060882568359,393.060882568359
"2042",422.237396240234,422.237396240234,422.237396240234
"2043",448.727661132812,448.727661132812,448.727661132812
"2044",473.101654052734,473.101654052734,473.101654052734
"2045",498.663482666016,498.663482666016,498.663482666016
"2046",531.75927734375,531.75927734375,531.75927734375
"2047",565.152954101562,565.152954101562,565.152954101562
"2048",571.69921875,571.69921875,571.69921875
"2049",509.542877197266,509.542877197266,509.542877197266
"2050",492.009857177734,492.009857177734,492.009857177734
"2051",516.616882324219,516.616882324219,516.616882324219
"2052",527.864318847656,527.864318847656,527.864318847656
"2053",589.480651855469,589.480651855469,589.480651855469
"2054",637.298522949219,637.298522949219,637.298522949219
"2055",696.77294921875,696.77294921875,696.77294921875
"2056",755.83740234375,755.83740234375,755.83740234375
"2057",717.476867675781,717.476867675781,717.476867675781
"2058",597.386901855469,597.386901855469,597.386901855469
"2059",567.883605957031,567.883605957031,567.883605957031
"2060",538.677368164062,538.677368164062,538.677368164062
"2061",456.187408447266,456.187408447266,456.187408447266
"2062",439.146209716797,439.146209716797,439.146209716797
"2063",416.551147460938,416.551147460938,416.551147460938
"2064",378.190826416016,378.190826416016,378.190826416016
"2065",370.281036376953,370.281036376953,370.281036376953
"2066",397.759521484375,397.759521484375,397.759521484375
"2067",413.341674804688,413.341674804688,413.341674804688
"2068",463.1025390625,463.1025390625,463.1025390625
"2069",499.452514648438,499.452514648438,499.452514648438
"2070",559.701843261719,559.701843261719,559.701843261719
"2071",615.547668457031,615.547668457031,615.547668457031
"2072",611.916564941406,611.916564941406,611.916564941406
"2073",485.036407470703,485.036407470703,485.036407470703
"2074",434.144500732422,434.144500732422,434.144500732422
"2075",411.783935546875,411.783935546875,411.783935546875
"2076",392.138793945312,392.138793945312,392.138793945312
"2077",419.942993164062,419.942993164062,419.942993164062
"2078",447.05615234375,447.05615234375,447.05615234375
"2079",472.017791748047,459.711151123047,459.710296630859
"2080",495.372650146484,446.966033935547,446.912841796875
"2081",519.732971191406,471.652740478516,459.435791015625
"2082",550.896545410156,503.904083251953,455.502166748047
"2083",582.132507324219,534.731018066406,486.753295898438
"2084",588.055786132812,543.877868652344,498.620483398438
"2085",526.388305664062,505.659637451172,472.138549804688
"2086",509.398345947266,506.749481201172,481.441619873047
"2087",532.284484863281,531.087951660156,508.369720458984
"2088",539.369873046875,542.106018066406,522.553527832031
"2089",598.107177734375,598.715881347656,581.021240234375
"2090",644.304931640625,642.844055175781,625.787170410156
"2091",699.278503417969,698.089050292969,682.565307617188
"2092",753.773498535156,743.895812988281,737.169189453125
"2093",727.140686035156,736.752746582031,729.337158203125
"2094",635.965637207031,719.422058105469,696.613220214844
"2095",611.586669921875,723.818054199219,692.217041015625
"2096",577.838806152344,700.955627441406,666.404052734375
"2097",473.428680419922,564.763244628906,534.963012695312
"2098",440.552825927734,506.419555664062,479.942535400391
"2099",412.316802978516,464.675872802734,443.477172851562
"2100",373.210113525391,420.828247070312,404.755889892578
"2101",365.333343505859,411.877532958984,399.624633789062
"2102",391.021697998047,438.965789794922,427.986602783203
