"Year","Treatment","AGB","AGB.c","AGB.d","rep","AGB.sc"
2033,"Control",467.261627197266,-0.826522052877806,0,"1",-0.828138241261682
2034,"Control",529.082336425781,60.9941871756372,0,"1",-0.456011698293487
2035,"Control",584.581665039062,116.493515788918,0,"1",-0.121936377067798
2036,"Control",573.082153320312,104.994004070168,0,"1",-0.191157089594772
2037,"Control",444.798370361328,-23.2897788888158,0,"1",-0.963354647130875
2038,"Control",399.923736572266,-68.1644126778778,0,"1",-1.23347517061372
2039,"Control",382.29150390625,-85.7966453438938,0,"1",-1.33961147782692
2040,"Control",364.162994384766,-103.925154865378,0,"1",-1.44873509775272
2041,"Control",393.060882568359,-75.0272666817849,0,"1",-1.2747857632491
2042,"Control",422.237396240234,-45.8507530099099,0,"1",-1.09915925711431
2043,"Control",448.727661132812,-19.3604881173318,0,"1",-0.939702485753944
2044,"Control",473.101654052734,5.01350480259015,0,"1",-0.792984503433577
2045,"Control",498.663482666016,30.5753334158722,0,"1",-0.639116405954382
2046,"Control",531.75927734375,63.6711280936062,0,"1",-0.439897991706077
2047,"Control",565.152954101562,97.0648048514182,0,"1",-0.238886491774107
2048,"Control",571.69921875,103.611069499856,0,"1",-0.19948159229336
2049,"Control",509.542877197266,41.4547279471222,0,"1",-0.573628456575863
2050,"Control",492.009857177734,23.9217079275901,0,"1",-0.679167558425105
2051,"Control",516.616882324219,48.5287330740751,0,"1",-0.531046850740482
2052,"Control",527.864318847656,59.7761695975122,0,"1",-0.46334349173744
2053,"Control",589.480651855469,121.392502605325,0,"1",-0.0924471807970538
2054,"Control",637.298522949219,169.210373699075,0,"1",0.195390006518945
2055,"Control",696.77294921875,228.684799968606,0,"1",0.553393221281303
2056,"Control",755.83740234375,287.749253093606,0,"1",0.908928624029079
2057,"Control",717.476867675781,249.388718425637,0,"1",0.678019381308543
2058,"Control",597.386901855469,129.298752605325,0,"1",-0.044855920246047
2059,"Control",567.883605957031,99.7954567068872,0,"1",-0.222449474992736
2060,"Control",538.677368164062,70.5892189139182,0,"1",-0.398254903928053
2061,"Control",456.187408447266,-11.9007408028778,0,"1",-0.894798924889204
2062,"Control",439.146209716797,-28.9419395333468,0,"1",-0.997377534076017
2063,"Control",416.551147460938,-51.5370017892058,0,"1",-1.13338733581323
2064,"Control",378.190826416016,-89.8973228341278,0,"1",-1.36429529264094
2065,"Control",370.281036376953,-97.8071128731908,0,"1",-1.41190786227292
2066,"Control",397.759521484375,-70.3286277657688,0,"1",-1.24650255074163
2067,"Control",413.341674804688,-54.7464744454558,0,"1",-1.15270658949416
2068,"Control",463.1025390625,-4.98561018764383,0,"1",-0.853173655911643
2069,"Control",499.452514648438,31.3643653982942,0,"1",-0.634366868985715
2070,"Control",559.701843261719,91.6136940115751,0,"1",-0.271699169879579
2071,"Control",615.547668457031,147.459519206887,0,"1",0.0644618694951024
2072,"Control",611.916564941406,143.828415691262,0,"1",0.0426046307915721
2073,"Control",485.036407470703,16.9482582205592,0,"1",-0.721143876141677
2074,"Control",434.144500732422,-33.9436485177218,0,"1",-1.02748506109271
2075,"Control",411.783935546875,-56.3042137032688,0,"1",-1.16208331991492
2076,"Control",392.138793945312,-75.9493553048318,0,"1",-1.28033622774372
2077,"Control",419.942993164062,-48.1451560860818,0,"1",-1.11297029706462
2078,"Control",447.05615234375,-21.0319969063938,0,"1",-0.949764045949176
2079,"Control",472.017791748047,3.92964249790316,0,"1",-0.799508756188521
2080,"Control",495.372650146484,27.2845008963401,0,"1",-0.658925401099587
2081,"Control",519.732971191406,51.6448219412622,0,"1",-0.5122897159195
2082,"Control",550.896545410156,82.8083961600122,0,"1",-0.324702202199953
2083,"Control",582.132507324219,114.044358074075,0,"1",-0.136678954514451
2084,"Control",588.055786132812,119.967636882668,0,"1",-0.101024085885707
2085,"Control",526.388305664062,58.3001564139182,0,"1",-0.472228276306249
2086,"Control",509.398345947266,41.3101966971222,0,"1",-0.574498454915975
